cell_type	cell_size	epochs	embedding_size	train_loss	test_loss
LSTM	16.0	2.0	10.0	1.3674933910369873	1.1799826622009275
GRU	64.0	2.0	8.0	0.9765145778656006	0.56315678358078
GRU	128.0	2.0	7.0	1.1503745317459106	0.7789575457572937
GRU	32.0	2.0	16.0	0.9889522194862366	0.6172729730606079
LSTM	128.0	2.0	24.0	1.0778508186340332	0.7399176955223083
GRU	256.0	2.0	7.0	1.037812352180481	0.5380465984344482
LSTM	16.0	2.0	11.0	1.0486936569213867	0.7491821050643921
GRU	128.0	2.0	20.0	0.6337624788284302	0.4450617134571075
LSTM	64.0	2.0	2.0	1.202997803688049	0.9018471240997314
GRU	64.0	2.0	25.0	1.0030475854873655	0.5006746649742126
LSTM	16.0	2.0	12.0	0.986625909805298	0.7827754616737366
GRU	16.0	2.0	19.0	1.1613672971725464	0.8738773465156555
LSTM	32.0	2.0	13.0	1.2528181076049805	0.8606740832328796
LSTM	16.0	2.0	20.0	0.8427736163139343	0.5584844946861267
GRU	16.0	2.0	29.0	1.061415195465088	0.7478362321853638
GRU	128.0	2.0	28.0	1.1634414196014404	0.5917400717735289
GRU	256.0	2.0	4.0	0.9666754007339478	0.4480587840080261
GRU	16.0	2.0	26.0	0.8367592096328735	0.7590889930725098
GRU	16.0	2.0	12.0	1.114076852798462	0.8617565631866455
