data.val_dec_shape	data.train_dec_shape	data.enc_shape	result.val_loss	data.val_enc_shape	data.dec_shape	result.patience	data.test_dec_shape	data.label_counts	data.train_enc_shape	result.test_loss	conf.cell_size	conf.embedding_size	result.val_loss_th	result.epochs_run	result.running_time	conf.cell_type	data.test_enc_shape	result.train_loss
(20037, 118)	(159920, 118)	(200000, 117)	0.20437893271446228	(20037, 117)	(200000, 118)	10.0	(20043, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159920, 117)	0.20539675652980804	64.0	27.0	0.01	58.0	50.736198	GRU	(20043, 117)	0.0519966334104538
(20037, 118)	(159920, 118)	(200000, 117)	0.4668862521648407	(20037, 117)	(200000, 118)	10.0	(20043, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159920, 117)	0.4689637422561646	16.0	27.0	0.01	26.0	16.318624	LSTM	(20043, 117)	0.11007444560527804
(19933, 118)	(160120, 118)	(200000, 117)	4.0036277770996085	(19933, 117)	(200000, 118)	10.0	(19947, 118)	{'GO': 200000, 'B': 557404, 'PAD': 21354286, 'E': 1488310}	(160120, 117)	3.993180274963379	256.0	28.0	0.01	310.0	739.145952	GRU	(19947, 117)	0.005367483012378216
(19989, 118)	(159861, 118)	(200000, 117)	1.631935477256775	(19989, 117)	(200000, 118)	10.0	(20150, 118)	{'B': 557404, 'E': 1488310, 'GO': 200000, 'PAD': 21354286}	(159861, 117)	1.6330561637878418	128.0	16.0	0.01	87.0	118.89274499999999	LSTM	(20150, 117)	0.05069547891616821
(19989, 118)	(159861, 118)	(200000, 117)	1.5356177091598509	(19989, 117)	(200000, 118)	10.0	(20150, 118)	{'B': 557404, 'E': 1488310, 'GO': 200000, 'PAD': 21354286}	(159861, 117)	1.5358058214187622	64.0	2.0	0.01	83.0	62.222084	LSTM	(20150, 117)	0.06542067974805832
(19914, 118)	(159912, 118)	(200000, 117)	0.5080375671386719	(19914, 117)	(200000, 118)	10.0	(20174, 118)	{'B': 557404, 'GO': 200000, 'PAD': 21354286, 'E': 1488310}	(159912, 117)	0.5042088627815247	32.0	2.0	0.01	130.0	65.498654	GRU	(20174, 117)	0.0337681844830513
(20017, 118)	(160028, 118)	(200000, 117)	0.18998005986213684	(20017, 117)	(200000, 118)	10.0	(19955, 118)	{'E': 1488310, 'B': 557404, 'PAD': 21354286, 'GO': 200000}	(160028, 117)	0.18959207832813266	128.0	24.0	0.01	112.0	159.372934	LSTM	(19955, 117)	0.04457462206482887
(20211, 118)	(159849, 118)	(200000, 117)	3.0873794555664062	(20211, 117)	(200000, 118)	10.0	(19940, 118)	{'PAD': 21354286, 'B': 557404, 'E': 1488310, 'GO': 200000}	(159849, 117)	3.088240385055542	32.0	29.0	0.01	74.0	47.340225	LSTM	(19940, 117)	0.061179827898740775
(20211, 118)	(159849, 118)	(200000, 117)	2.280895233154297	(20211, 117)	(200000, 118)	10.0	(19940, 118)	{'PAD': 21354286, 'B': 557404, 'E': 1488310, 'GO': 200000}	(159849, 117)	2.282111883163452	32.0	7.0	0.01	92.0	50.315717	GRU	(19940, 117)	0.050506211817264564
(20075, 118)	(159914, 118)	(200000, 117)	0.215142160654068	(20075, 117)	(200000, 118)	10.0	(20011, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(159914, 117)	0.2111201137304306	128.0	19.0	0.01	94.0	112.105888	GRU	(20011, 117)	0.04007547348737717
